path	decision	reason	lineage
[].Physiology and metabolism.API 50CHac.[].NAG	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MNE	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MLZ	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MEL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MDX	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MDM	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MDG	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MAN	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].MAL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].LYX	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].LXYL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].LFUC	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].LARL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].LARA	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].LAC	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].INU	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].INO	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].GLYG	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].GLY	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].GLU	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].GEN	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].GAL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].ESC	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].ERY	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].DXYL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].DUL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].DFUC	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].DARL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].DARA	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].CEL	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].AMD	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].ADO	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].GNT	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].FRU	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].ARB	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].AMY	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].5KG	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].2KG	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHac.[].Q	include	categorical	[].Physiology and metabolism.API 50CHac.[]
[].Physiology and metabolism.API 50CHas.@ref	exclude	numeric-dominated	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.XLT	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.TUR	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.TRE	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.TAG	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.SOR	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.SBE	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.SAL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.SAC	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.RIB	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.RHA	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.RAF	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.Q	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.NAG	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MNE	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MLZ	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MEL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MDX	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MDM	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MDG	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MAN	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.MAL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.LYX	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.LXYL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.LFUC	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.LARL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.LARA	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.LAC	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.INU	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.INO	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.GLYG	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.GLY	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.GLU	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.GEN	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.GAL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.FRU	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.ESC	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.ERY	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.DXYL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.DUL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.DFUC	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.DARL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.DARA	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.CEL	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.ARB	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.AMY	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.AMD	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.ADO	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.GNT	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.5KG	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API 50CHas.2KG	include	categorical	[].Physiology and metabolism.API 50CHas
[].Physiology and metabolism.API CAM.TTC	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.PYRA	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.PAL	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.GGT	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.URE	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.NIT	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.HIP	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.EST	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.AspA	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.ArgA	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.SUT	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.MLT	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.H2S	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.GLU	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.CFZ	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.PROP	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.NAL	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.ERO	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.CIT	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.ACE	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.CAT	include	categorical	[].Physiology and metabolism.API CAM
[].Physiology and metabolism.API CAM.[].URE	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].PYRA	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].PAL	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].NIT	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].GGT	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].AspA	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].ArgA	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].TTC	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].HIP	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].EST	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].H2S	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].SUT	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].PROP	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].NAL	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].MLT	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].GLU	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].ERO	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].CIT	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].CFZ	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].ACE	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API CAM.[].CAT	include	categorical	[].Physiology and metabolism.API CAM.[]
[].Physiology and metabolism.API ID32E.URE	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.TRE	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.SOR	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.SAC	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.RP	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.RHA	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.PLE	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.ODC	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.LDC Lys	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.LARL	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.LARA	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.INO	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.GLU	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.GAT	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.DARL	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.CEL	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.beta GUR	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.beta GLU	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.beta GAL	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.alphaMAL	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.alpha GAL	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.ADO	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.ADH Arg	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.5KG	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.MNT	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.MAL	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.alpha GLU	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.MAN	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.LIP	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.IND	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.beta NAG	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.AspA	include	categorical	[].Physiology and metabolism.API ID32E
[].Physiology and metabolism.API ID32E.[].URE	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].TRE	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].SOR	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].SAC	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].RP	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].RHA	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].PLE	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].ODC	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].MNT	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].MAN	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].MAL	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].LIP	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].LDC Lys	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].LARL	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].LARA	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].INO	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].IND	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].GLU	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].GAT	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].DARL	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].CEL	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].beta NAG	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].beta GUR	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].beta GLU	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].beta GAL	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].alphaMAL	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].alpha GLU	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].alpha GAL	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].ADO	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].ADH Arg	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].5KG	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32E.[].AspA	include	categorical	[].Physiology and metabolism.API ID32E.[]
[].Physiology and metabolism.API ID32STA.URE	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.TUR	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.TRE	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.SAC	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.RIB	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.RAF	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.NOVO	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.NIT	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.NAG	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.MNE	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.MAN	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.MAL	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.LAC	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.GLU	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.FRU	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.ESC	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.CEL	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.beta GUR	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.ArgA	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.ARA	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.ADH Arg	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.PAL	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.ODC	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.beta GAL	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.PyrA	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.VP	include	categorical	[].Physiology and metabolism.API ID32STA
[].Physiology and metabolism.API ID32STA.[].URE	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].TUR	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].TRE	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].SAC	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].RAF	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].PyrA	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].PAL	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].NOVO	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].NAG	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].MNE	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].MAN	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].MAL	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].GLU	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].FRU	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].ESC	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].beta GAL	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].ArgA	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].ARA	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].ADH Arg	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].RIB	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].ODC	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].LAC	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].beta GUR	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].VP	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].CEL	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API ID32STA.[].NIT	include	categorical	[].Physiology and metabolism.API ID32STA.[]
[].Physiology and metabolism.API LIST.XYL	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.RIB	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.RHA	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.MDG	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.G1P	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.ESC	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.DARL	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.alpha MAN	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.TAG	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.DIM	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.beta HEM	include	categorical	[].Physiology and metabolism.API LIST
[].Physiology and metabolism.API LIST.[].XYL	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].TAG	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].RIB	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].RHA	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].MDG	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].G1P	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].ESC	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].DARL	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].alpha MAN	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].DIM	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API LIST.[].beta HEM	include	categorical	[].Physiology and metabolism.API LIST.[]
[].Physiology and metabolism.API NH.URE	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.SAC	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.PAL	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.ODC	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.MAL	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.LIP	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.GLU	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.FRU	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.beta GAL	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.ProA	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.GGT	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.IND	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.PEN	include	categorical	[].Physiology and metabolism.API NH
[].Physiology and metabolism.API NH.[].URE	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].SAC	include	categorical	[].Physiology and metabolism.API NH.[]
[].Physiology and metabolism.API NH.[].PAL	include	categorical	[].Physiology and metabolism.API NH.[]
