path	value
[].Physiology and metabolism.API biotype100.SAC	+
[].Physiology and metabolism.API biotype100.RIB	+
[].Physiology and metabolism.API biotype100.RIB	-
[].Physiology and metabolism.API biotype100.RHA	+
[].Physiology and metabolism.API biotype100.RHA	-
[].Physiology and metabolism.API biotype100.pOBE	-
[].Physiology and metabolism.API biotype100.pOBE	+
[].Physiology and metabolism.API biotype100.PLE	-
[].Physiology and metabolism.API biotype100.PLE	+
[].Physiology and metabolism.API biotype100.PAT	+
[].Physiology and metabolism.API biotype100.PAT	-
[].Physiology and metabolism.API biotype100.PAC	-
[].Physiology and metabolism.API biotype100.PAC	+
[].Physiology and metabolism.API biotype100.NAG	-
[].Physiology and metabolism.API biotype100.NAG	+
[].Physiology and metabolism.API biotype100.MUC	-
[].Physiology and metabolism.API biotype100.MUC	+
[].Physiology and metabolism.API biotype100.MTL	-
[].Physiology and metabolism.API biotype100.MTL	+
[].Physiology and metabolism.API biotype100.MTE	-
[].Physiology and metabolism.API biotype100.MTE	+
[].Physiology and metabolism.API biotype100.MTAT	-
[].Physiology and metabolism.API biotype100.MTAT	+
[].Physiology and metabolism.API biotype100.MLZ	+
[].Physiology and metabolism.API biotype100.MLZ	-
[].Physiology and metabolism.API biotype100.MEL	+
[].Physiology and metabolism.API biotype100.MEL	-
[].Physiology and metabolism.API biotype100.MDG	-
[].Physiology and metabolism.API biotype100.MDG	+
[].Physiology and metabolism.API biotype100.MbGu	-
[].Physiology and metabolism.API biotype100.MbGu	+
[].Physiology and metabolism.API biotype100.MbGa	-
[].Physiology and metabolism.API biotype100.MbGa	+
[].Physiology and metabolism.API biotype100.MAN	-
[].Physiology and metabolism.API biotype100.MAN	+
[].Physiology and metabolism.API biotype100.MaGa	-
[].Physiology and metabolism.API biotype100.MaGa	+
[].Physiology and metabolism.API biotype100.LTE	+
[].Physiology and metabolism.API biotype100.LTE	-
[].Physiology and metabolism.API biotype100.LTAT	+
[].Physiology and metabolism.API biotype100.LTAT	-
[].Physiology and metabolism.API biotype100.LMLT	-
[].Physiology and metabolism.API biotype100.LMLT	+
[].Physiology and metabolism.API biotype100.INO	+
[].Physiology and metabolism.API biotype100.INO	-
[].Physiology and metabolism.API biotype100.HBG	+
[].Physiology and metabolism.API biotype100.HBG	-
[].Physiology and metabolism.API biotype100.GRT	+
[].Physiology and metabolism.API biotype100.GRT	-
[].Physiology and metabolism.API biotype100.GNT	+
[].Physiology and metabolism.API biotype100.GNT	-
[].Physiology and metabolism.API biotype100.GEN	+
[].Physiology and metabolism.API biotype100.GEN	-
[].Physiology and metabolism.API biotype100.GAT	-
[].Physiology and metabolism.API biotype100.GAT	+
[].Physiology and metabolism.API biotype100.GAL	+
[].Physiology and metabolism.API biotype100.GAL	-
[].Physiology and metabolism.API biotype100.ESC	+
[].Physiology and metabolism.API biotype100.ESC	-
[].Physiology and metabolism.API biotype100.ERY	+
[].Physiology and metabolism.API biotype100.ERY	-
[].Physiology and metabolism.API biotype100.DTAT	-
[].Physiology and metabolism.API biotype100.DTAT	+
[].Physiology and metabolism.API biotype100.DMLT	+
[].Physiology and metabolism.API biotype100.DMLT	-
[].Physiology and metabolism.API biotype100.CIT	+
[].Physiology and metabolism.API biotype100.CIT	-
[].Physiology and metabolism.API biotype100.CEL	+
[].Physiology and metabolism.API biotype100.CEL	-
[].Physiology and metabolism.API biotype100.CATE	-
[].Physiology and metabolism.API biotype100.CATE	+
[].Physiology and metabolism.API biotype100.5KG	+
[].Physiology and metabolism.API biotype100.5KG	-
[].Physiology and metabolism.API biotype100.3MDG	+
[].Physiology and metabolism.API biotype100.3MDG	-
[].Physiology and metabolism.API biotype100.2KG	+
[].Physiology and metabolism.API biotype100.2KG	-
[].Physiology and metabolism.API biotype100.XYL	+
[].Physiology and metabolism.API biotype100.XYL	-
[].Physiology and metabolism.API biotype100.XLT	+
[].Physiology and metabolism.API biotype100.XLT	-
[].Physiology and metabolism.API biotype100.TUR	-
[].Physiology and metabolism.API biotype100.TUR	+
[].Physiology and metabolism.API biotype100.TAG	+
[].Physiology and metabolism.API biotype100.TAG	-
[].Physiology and metabolism.API biotype100.SBE	+
[].Physiology and metabolism.API biotype100.SBE	-
[].Physiology and metabolism.API biotype100.RAF	+
[].Physiology and metabolism.API biotype100.RAF	-
[].Physiology and metabolism.API biotype100.MNE	+
[].Physiology and metabolism.API biotype100.MNE	-
[].Physiology and metabolism.API biotype100.MAL	-
[].Physiology and metabolism.API biotype100.MAL	+
[].Physiology and metabolism.API biotype100.LYX	+
[].Physiology and metabolism.API biotype100.LYX	-
[].Physiology and metabolism.API biotype100.LARL	+
[].Physiology and metabolism.API biotype100.LARL	-
[].Physiology and metabolism.API biotype100.LAC	+
[].Physiology and metabolism.API biotype100.LAC	-
[].Physiology and metabolism.API biotype100.GLY	+
[].Physiology and metabolism.API biotype100.GLY	-
[].Physiology and metabolism.API biotype100.GLU	-
[].Physiology and metabolism.API biotype100.GLU	+
[].Physiology and metabolism.API biotype100.FUC	+
[].Physiology and metabolism.API biotype100.FUC	-
[].Physiology and metabolism.API biotype100.FRU	+
[].Physiology and metabolism.API biotype100.FRU	-
[].Physiology and metabolism.API biotype100.DUL	+
[].Physiology and metabolism.API biotype100.DUL	-
[].Physiology and metabolism.API biotype100.DARL	+
[].Physiology and metabolism.API biotype100.DARL	-
[].Physiology and metabolism.API biotype100.ARA	+
[].Physiology and metabolism.API biotype100.ARA	-
[].Physiology and metabolism.API biotype100.ADO	+
[].Physiology and metabolism.API biotype100.ADO	-
[].Physiology and metabolism.API biotype100.TGE	+
[].Physiology and metabolism.API biotype100.TGE	-
[].Physiology and metabolism.API biotype100.SUC	+
[].Physiology and metabolism.API biotype100.SUC	-
[].Physiology and metabolism.API biotype100.QAT	-
[].Physiology and metabolism.API biotype100.QAT	+
[].Physiology and metabolism.API biotype100.PPAT	-
[].Physiology and metabolism.API biotype100.PPAT	+
[].Physiology and metabolism.API biotype100.PCE	-
[].Physiology and metabolism.API biotype100.PCE	+
[].Physiology and metabolism.API biotype100.mOBE	+
[].Physiology and metabolism.API biotype100.mOBE	-
[].Physiology and metabolism.API biotype100.LAT	+
[].Physiology and metabolism.API biotype100.LAT	-
[].Physiology and metabolism.API biotype100.HIS	+
[].Physiology and metabolism.API biotype100.HIS	-
[].Physiology and metabolism.API biotype100.HIN	+
[].Physiology and metabolism.API biotype100.HIN	-
[].Physiology and metabolism.API biotype100.GTE	-
[].Physiology and metabolism.API biotype100.GTE	+
[].Physiology and metabolism.API biotype100.CYT	+
[].Physiology and metabolism.API biotype100.CYT	-
[].Physiology and metabolism.API biotype100.CMT	-
[].Physiology and metabolism.API biotype100.CMT	+
[].Physiology and metabolism.API biotype100.CAP	-
[].Physiology and metabolism.API biotype100.CAP	+
[].Physiology and metabolism.API biotype100.BET	+
[].Physiology and metabolism.API biotype100.BET	-
[].Physiology and metabolism.API biotype100.BAT	+
[].Physiology and metabolism.API biotype100.BAT	-
[].Physiology and metabolism.API biotype100.ABT	+
[].Physiology and metabolism.API biotype100.ABT	-
[].Physiology and metabolism.API biotype100.TTN	+
[].Physiology and metabolism.API biotype100.TTN	-
[].Physiology and metabolism.API biotype100.SER	-
[].Physiology and metabolism.API biotype100.SER	+
[].Physiology and metabolism.API biotype100.PRO	+
[].Physiology and metabolism.API biotype100.PRO	-
[].Physiology and metabolism.API biotype100.MNT	+
[].Physiology and metabolism.API biotype100.MNT	-
[].Physiology and metabolism.API biotype100.LALA	-
[].Physiology and metabolism.API biotype100.LALA	+
[].Physiology and metabolism.API biotype100.ITA	-
[].Physiology and metabolism.API biotype100.ITA	+
[].Physiology and metabolism.API biotype100.GYT	+
[].Physiology and metabolism.API biotype100.GYT	-
[].Physiology and metabolism.API biotype100.GTT	-
[].Physiology and metabolism.API biotype100.GTT	+
[].Physiology and metabolism.API biotype100.GRE	+
[].Physiology and metabolism.API biotype100.GRE	-
[].Physiology and metabolism.API biotype100.GLN	-
[].Physiology and metabolism.API biotype100.GLN	+
[].Physiology and metabolism.API biotype100.FUM	+
[].Physiology and metabolism.API biotype100.FUM	-
[].Physiology and metabolism.API biotype100.ETN	+
[].Physiology and metabolism.API biotype100.ETN	-
[].Physiology and metabolism.API biotype100.DALA	+
[].Physiology and metabolism.API biotype100.DALA	-
[].Physiology and metabolism.API biotype100.AVT	+
[].Physiology and metabolism.API biotype100.AVT	-
[].Physiology and metabolism.API biotype100.APT	+
[].Physiology and metabolism.API biotype100.APT	-
[].Physiology and metabolism.API biotype100.3OBU	+
[].Physiology and metabolism.API biotype100.3OBU	-
[].Physiology and metabolism.API biotype100.TYR	-
[].Physiology and metabolism.API biotype100.TYR	+
[].Physiology and metabolism.API biotype100.PROP	+
[].Physiology and metabolism.API biotype100.PROP	-
[].Physiology and metabolism.API biotype100.2KT	+
[].Physiology and metabolism.API biotype100.2KT	-
[].Physiology and metabolism.API rID32STR.TRE	+/-
[].Physiology and metabolism.API rID32STR.TRE	+
[].Physiology and metabolism.API rID32STR.TRE	-
[].Physiology and metabolism.API rID32STR.TAG	-
[].Physiology and metabolism.API rID32STR.TAG	+
[].Physiology and metabolism.API rID32STR.TAG	+/-
[].Physiology and metabolism.API rID32STR.SOR	-
[].Physiology and metabolism.API rID32STR.SOR	+
[].Physiology and metabolism.API rID32STR.SOR	+/-
[].Physiology and metabolism.API rID32STR.SAC	+/-
[].Physiology and metabolism.API rID32STR.SAC	-
[].Physiology and metabolism.API rID32STR.SAC	+
[].Physiology and metabolism.API rID32STR.RIB	+/-
[].Physiology and metabolism.API rID32STR.RIB	-
[].Physiology and metabolism.API rID32STR.RIB	+
[].Physiology and metabolism.API rID32STR.PyrA	-
[].Physiology and metabolism.API rID32STR.PyrA	+/-
[].Physiology and metabolism.API rID32STR.PyrA	+
[].Physiology and metabolism.API rID32STR.PAL	+/-
[].Physiology and metabolism.API rID32STR.PAL	+
[].Physiology and metabolism.API rID32STR.PAL	-
[].Physiology and metabolism.API rID32STR.MEL	+/-
[].Physiology and metabolism.API rID32STR.MEL	+
[].Physiology and metabolism.API rID32STR.MEL	-
[].Physiology and metabolism.API rID32STR.Mbeta DG	+/-
[].Physiology and metabolism.API rID32STR.Mbeta DG	+
[].Physiology and metabolism.API rID32STR.Mbeta DG	-
[].Physiology and metabolism.API rID32STR.MAN	+
[].Physiology and metabolism.API rID32STR.MAN	+/-
[].Physiology and metabolism.API rID32STR.MAN	-
[].Physiology and metabolism.API rID32STR.MAL	+/-
[].Physiology and metabolism.API rID32STR.MAL	+
[].Physiology and metabolism.API rID32STR.MAL	-
[].Physiology and metabolism.API rID32STR.LARA	-
[].Physiology and metabolism.API rID32STR.LARA	+/-
[].Physiology and metabolism.API rID32STR.LARA	+
[].Physiology and metabolism.API rID32STR.LAC	+/-
[].Physiology and metabolism.API rID32STR.LAC	+
[].Physiology and metabolism.API rID32STR.LAC	-
[].Physiology and metabolism.API rID32STR.HIP	+/-
[].Physiology and metabolism.API rID32STR.HIP	+
[].Physiology and metabolism.API rID32STR.HIP	-
[].Physiology and metabolism.API rID32STR.GTA	-
[].Physiology and metabolism.API rID32STR.GTA	+/-
[].Physiology and metabolism.API rID32STR.GTA	+
[].Physiology and metabolism.API rID32STR.DARL	+
[].Physiology and metabolism.API rID32STR.DARL	+/-
[].Physiology and metabolism.API rID32STR.DARL	-
[].Physiology and metabolism.API rID32STR.beta NAG	+
[].Physiology and metabolism.API rID32STR.beta NAG	-
[].Physiology and metabolism.API rID32STR.beta NAG	+/-
[].Physiology and metabolism.API rID32STR.beta MAN	-
[].Physiology and metabolism.API rID32STR.beta MAN	+/-
[].Physiology and metabolism.API rID32STR.beta MAN	+
[].Physiology and metabolism.API rID32STR.beta GUR	+
[].Physiology and metabolism.API rID32STR.beta GUR	-
[].Physiology and metabolism.API rID32STR.beta GLU	+
[].Physiology and metabolism.API rID32STR.beta GLU	+/-
[].Physiology and metabolism.API rID32STR.beta GLU	-
[].Physiology and metabolism.API rID32STR.beta GAR	+/-
[].Physiology and metabolism.API rID32STR.beta GAR	-
[].Physiology and metabolism.API rID32STR.beta GAR	+
[].Physiology and metabolism.API rID32STR.alpha GAL	+/-
[].Physiology and metabolism.API rID32STR.alpha GAL	-
[].Physiology and metabolism.API rID32STR.alpha GAL	+
[].Physiology and metabolism.API rID32STR.ADH Arg	+
[].Physiology and metabolism.API rID32STR.ADH Arg	-
[].Physiology and metabolism.API rID32STR.RAF	+/-
[].Physiology and metabolism.API rID32STR.RAF	-
[].Physiology and metabolism.API rID32STR.RAF	+
[].Physiology and metabolism.API rID32STR.PUL	+/-
[].Physiology and metabolism.API rID32STR.PUL	-
[].Physiology and metabolism.API rID32STR.PUL	+
[].Physiology and metabolism.API rID32STR.MLZ	+/-
[].Physiology and metabolism.API rID32STR.MLZ	+
[].Physiology and metabolism.API rID32STR.MLZ	-
[].Physiology and metabolism.API rID32STR.GLYG	-
[].Physiology and metabolism.API rID32STR.GLYG	+/-
[].Physiology and metabolism.API rID32STR.GLYG	+
[].Physiology and metabolism.API rID32STR.URE	-
[].Physiology and metabolism.API rID32STR.URE	+/-
[].Physiology and metabolism.API rID32STR.URE	+
[].Physiology and metabolism.API rID32STR.beta GAL	+/-
[].Physiology and metabolism.API rID32STR.beta GAL	-
[].Physiology and metabolism.API rID32STR.beta GAL	+
[].Physiology and metabolism.API rID32STR.APPA	-
[].Physiology and metabolism.API rID32STR.APPA	+/-
[].Physiology and metabolism.API rID32STR.APPA	+
[].Physiology and metabolism.API rID32STR.CDEX	-
[].Physiology and metabolism.API rID32STR.CDEX	+/-
[].Physiology and metabolism.API rID32STR.CDEX	+
[].Physiology and metabolism.API rID32STR.VP	+
[].Physiology and metabolism.API rID32STR.VP	+/-
[].Physiology and metabolism.API rID32STR.VP	-
[].Morphology.multimedia.[].intellectual property rights	© Leibniz-Institut DSMZ
[].Morphology.multimedia.[].intellectual property rights	Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH
[].Morphology.multimedia.[].intellectual property rights	© HZI/Manfred Rohde
[].Morphology.multimedia.[].intellectual property rights	Helmholtz-Zentrum für Infektionsforschung GmbH
[].Physiology and metabolism.antibiotic resistance.is sensitive	no
[].Physiology and metabolism.antibiotic resistance.is sensitive	yes
[].Physiology and metabolism.API 20NE.URE	+/-
[].Physiology and metabolism.API 20NE.URE	-
[].Physiology and metabolism.API 20NE.URE	+
[].Physiology and metabolism.API 20NE.PAC	+/-
[].Physiology and metabolism.API 20NE.PAC	+
[].Physiology and metabolism.API 20NE.PAC	-
[].Physiology and metabolism.API 20NE.NAG	+
[].Physiology and metabolism.API 20NE.NAG	+/-
[].Physiology and metabolism.API 20NE.NAG	-
[].Physiology and metabolism.API 20NE.MNE	+/-
[].Physiology and metabolism.API 20NE.MNE	+
[].Physiology and metabolism.API 20NE.MNE	-
[].Physiology and metabolism.API 20NE.MLT	+/-
[].Physiology and metabolism.API 20NE.MLT	+
[].Physiology and metabolism.API 20NE.MLT	-
[].Physiology and metabolism.API 20NE.MAN	+/-
[].Physiology and metabolism.API 20NE.MAN	+
[].Physiology and metabolism.API 20NE.MAN	-
[].Physiology and metabolism.API 20NE.MAL	-
[].Physiology and metabolism.API 20NE.MAL	+/-
[].Physiology and metabolism.API 20NE.MAL	+
[].Physiology and metabolism.API 20NE.GNT	+/-
[].Physiology and metabolism.API 20NE.GNT	+
[].Physiology and metabolism.API 20NE.GNT	-
[].Physiology and metabolism.API 20NE.GLU_ Ferm	+/-
[].Physiology and metabolism.API 20NE.GLU_ Ferm	+
[].Physiology and metabolism.API 20NE.GLU_ Ferm	-
[].Physiology and metabolism.API 20NE.GEL	+/-
[].Physiology and metabolism.API 20NE.GEL	-
[].Physiology and metabolism.API 20NE.GEL	+
[].Physiology and metabolism.API 20NE.ESC	+/-
[].Physiology and metabolism.API 20NE.ESC	-
[].Physiology and metabolism.API 20NE.ESC	+
[].Physiology and metabolism.API 20NE.CIT	+/-
[].Physiology and metabolism.API 20NE.CIT	+
[].Physiology and metabolism.API 20NE.CIT	-
[].Physiology and metabolism.API 20NE.CAP	+
[].Physiology and metabolism.API 20NE.CAP	+/-
[].Physiology and metabolism.API 20NE.CAP	-
[].Physiology and metabolism.API 20NE.ARA	+
[].Physiology and metabolism.API 20NE.ARA	+/-
[].Physiology and metabolism.API 20NE.ARA	-
[].Physiology and metabolism.API 20NE.ADI	+
[].Physiology and metabolism.API 20NE.ADI	-
[].Physiology and metabolism.API 20NE.ADI	+/-
[].Physiology and metabolism.API 20NE.ADH Arg	+/-
[].Physiology and metabolism.API 20NE.ADH Arg	+
[].Physiology and metabolism.API 20NE.ADH Arg	-
[].Physiology and metabolism.API 20NE.PNPG	-
[].Physiology and metabolism.API 20NE.PNPG	+/-
[].Physiology and metabolism.API 20NE.PNPG	+
[].Physiology and metabolism.API 20NE.TRP	+
[].Physiology and metabolism.API 20NE.TRP	-
[].Physiology and metabolism.API 20NE.TRP	+/-
[].Physiology and metabolism.API 20NE.GLU_ Assim	+
[].Physiology and metabolism.API 20NE.GLU_ Assim	+/-
[].Physiology and metabolism.API 20NE.GLU_ Assim	-
[].Physiology and metabolism.API 20NE.NO3	-
[].Physiology and metabolism.API 20NE.NO3	+/-
[].Physiology and metabolism.API 20NE.NO3	+
[].Physiology and metabolism.metabolite tests.[].methylred-test	+/-
[].Physiology and metabolism.metabolite tests.[].methylred-test	+
[].Physiology and metabolism.metabolite tests.[].methylred-test	-
[].Physiology and metabolism.halophily.tested relation	optimum
[].Physiology and metabolism.halophily.tested relation	other
[].Physiology and metabolism.halophily.tested relation	maximum
[].Physiology and metabolism.halophily.tested relation	resistant
[].Physiology and metabolism.halophily.tested relation	growth
[].Physiology and metabolism.halophily.salt	NaCl
[].Physiology and metabolism.halophily.growth	no
[].Physiology and metabolism.halophily.growth	positive
[].Physiology and metabolism.API coryne.URE	+/-
[].Physiology and metabolism.API coryne.URE	+
[].Physiology and metabolism.API coryne.URE	-
[].Physiology and metabolism.API coryne.GEL	+/-
[].Physiology and metabolism.API coryne.GEL	-
[].Physiology and metabolism.API coryne.GEL	+
[].Physiology and metabolism.API coryne.ESC	+/-
[].Physiology and metabolism.API coryne.ESC	+
[].Physiology and metabolism.API coryne.ESC	-
[].Physiology and metabolism.API coryne.PYRA	+/-
[].Physiology and metabolism.API coryne.PYRA	-
[].Physiology and metabolism.API coryne.PYRA	+
[].Physiology and metabolism.API coryne.PAL	+/-
[].Physiology and metabolism.API coryne.PAL	-
[].Physiology and metabolism.API coryne.PAL	+
[].Physiology and metabolism.API coryne.beta NAG	-
[].Physiology and metabolism.API coryne.beta NAG	+
[].Physiology and metabolism.API coryne.beta NAG	+/-
[].Physiology and metabolism.API coryne.beta GAL	+
[].Physiology and metabolism.API coryne.beta GAL	+/-
[].Physiology and metabolism.API coryne.beta GAL	-
[].Physiology and metabolism.API coryne.alpha GLU	+/-
[].Physiology and metabolism.API coryne.alpha GLU	-
[].Physiology and metabolism.API coryne.alpha GLU	+
[].Physiology and metabolism.API coryne.beta GUR	-
[].Physiology and metabolism.API coryne.beta GUR	+
[].Physiology and metabolism.API coryne.beta GUR	+/-
[].Physiology and metabolism.API coryne.SAC	+
[].Physiology and metabolism.API coryne.SAC	+/-
[].Physiology and metabolism.API coryne.SAC	-
[].Physiology and metabolism.API coryne.PYZ	+/-
[].Physiology and metabolism.API coryne.PYZ	-
[].Physiology and metabolism.API coryne.PYZ	+
[].Physiology and metabolism.API coryne.XYL	+
[].Physiology and metabolism.API coryne.XYL	+/-
[].Physiology and metabolism.API coryne.XYL	-
[].Physiology and metabolism.API coryne.RIB	+/-
[].Physiology and metabolism.API coryne.RIB	+
[].Physiology and metabolism.API coryne.RIB	-
[].Physiology and metabolism.API coryne.MAN	+/-
[].Physiology and metabolism.API coryne.MAN	+
[].Physiology and metabolism.API coryne.MAN	-
[].Physiology and metabolism.API coryne.LAC	-
[].Physiology and metabolism.API coryne.LAC	+/-
[].Physiology and metabolism.API coryne.LAC	+
[].Physiology and metabolism.API 20E.URE	+
[].Physiology and metabolism.API 20E.URE	+/-
[].Physiology and metabolism.API 20E.URE	-
[].Physiology and metabolism.API 20E.H2S	+/-
[].Physiology and metabolism.API 20E.H2S	+
[].Physiology and metabolism.API 20E.H2S	-
[].Physiology and metabolism.API 20E.ODC	+/-
[].Physiology and metabolism.API 20E.ODC	+
[].Physiology and metabolism.API 20E.ODC	-
[].Physiology and metabolism.API coryne.NIT	+/-
[].Physiology and metabolism.API coryne.NIT	+
[].Physiology and metabolism.API coryne.NIT	-
[].Physiology and metabolism.API coryne.GLYG	-
[].Physiology and metabolism.API coryne.GLYG	+
[].Physiology and metabolism.API coryne.GLYG	+/-
[].Physiology and metabolism.API 20E.CIT	+/-
[].Physiology and metabolism.API 20E.CIT	+
[].Physiology and metabolism.API 20E.CIT	-
[].Physiology and metabolism.API 20E.TDA Trp	-
[].Physiology and metabolism.API 20E.TDA Trp	+/-
[].Physiology and metabolism.API 20E.TDA Trp	+
[].Physiology and metabolism.API 20E.ONPG	-
[].Physiology and metabolism.API 20E.ONPG	+/-
[].Physiology and metabolism.API 20E.ONPG	+
[].Physiology and metabolism.API 20E.LDC Lys	+/-
[].Physiology and metabolism.API 20E.LDC Lys	-
[].Physiology and metabolism.API 20E.LDC Lys	+
[].Physiology and metabolism.API 20E.IND	-
[].Physiology and metabolism.API 20E.IND	+/-
[].Physiology and metabolism.API 20E.IND	+
[].Physiology and metabolism.API 20E.ADH Arg	-
[].Physiology and metabolism.API 20E.ADH Arg	+/-
[].Physiology and metabolism.API 20E.ADH Arg	+
[].Physiology and metabolism.API 20E.GEL	+/-
[].Physiology and metabolism.API 20E.GEL	+
[].Physiology and metabolism.API 20E.GEL	-
[].Physiology and metabolism.API 20E.VP	+/-
[].Physiology and metabolism.API 20E.VP	-
[].Physiology and metabolism.API 20E.VP	+
[].Physiology and metabolism.API coryne.MAL	-
[].Physiology and metabolism.API coryne.MAL	+
[].Physiology and metabolism.API coryne.MAL	+/-
[].Morphology.multimedia.intellectual property rights	© HZI/Manfred Rohde
[].Morphology.multimedia.intellectual property rights	Helmholtz-Zentrum für Infektionsforschung GmbH
[].Morphology.multimedia.intellectual property rights	© Leibniz-Institut DSMZ
[].Morphology.multimedia.intellectual property rights	Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH
[].Physiology and metabolism.API coryne.GLU	-
[].Physiology and metabolism.API coryne.GLU	+/-
[].Physiology and metabolism.API coryne.GLU	+
[].Physiology and metabolism.API 20NE.OX	+/-
[].Physiology and metabolism.API 20NE.OX	+
[].Physiology and metabolism.API 20NE.OX	-
[].Safety information.risk assessment.pathogenicity human	yes, in single cases
[].Safety information.risk assessment.pathogenicity human	yes
[].Physiology and metabolism.API 20E.GLU	+
[].Physiology and metabolism.API 20E.GLU	+/-
[].Physiology and metabolism.API 20E.GLU	-
[].Physiology and metabolism.API coryne.Control	-
[].Physiology and metabolism.API coryne.Control	+
[].Morphology.colony morphology.colony shape	round, undulate
[].Morphology.colony morphology.colony shape	punctiform
[].Morphology.colony morphology.colony shape	filamentous
[].Morphology.colony morphology.colony shape	rhizoid
[].Morphology.colony morphology.colony shape	irregular
[].Morphology.colony morphology.colony shape	oval
[].Morphology.colony morphology.colony shape	fried-egg-shaped
[].Morphology.colony morphology.colony shape	circular
[].Physiology and metabolism.API coryne.CAT	+
[].Physiology and metabolism.API coryne.CAT	-
[].Safety information.risk assessment.pathogenicity animal	yes
[].Safety information.risk assessment.pathogenicity animal	yes, in single cases
[].Physiology and metabolism.API rID32A.TyrA	+
[].Physiology and metabolism.API rID32A.TyrA	-
[].Physiology and metabolism.API rID32A.TyrA	+/-
[].Physiology and metabolism.API rID32A.ProA	+/-
[].Physiology and metabolism.API rID32A.ProA	+
[].Physiology and metabolism.API rID32A.ProA	-
[].Physiology and metabolism.API rID32A.PheA	+/-
[].Physiology and metabolism.API rID32A.PheA	+
[].Physiology and metabolism.API rID32A.PheA	-
[].Physiology and metabolism.API rID32A.PAL	+
[].Physiology and metabolism.API rID32A.PAL	+/-
[].Physiology and metabolism.API rID32A.PAL	-
[].Physiology and metabolism.API rID32A.MNE	+/-
[].Physiology and metabolism.API rID32A.MNE	-
[].Physiology and metabolism.API rID32A.MNE	+
[].Physiology and metabolism.API rID32A.LGA	+/-
[].Physiology and metabolism.API rID32A.LGA	-
[].Physiology and metabolism.API rID32A.LGA	+
[].Physiology and metabolism.API rID32A.LeuA	+
[].Physiology and metabolism.API rID32A.LeuA	+/-
[].Physiology and metabolism.API rID32A.LeuA	-
[].Physiology and metabolism.API rID32A.beta GUR	+/-
[].Physiology and metabolism.API rID32A.beta GUR	-
[].Physiology and metabolism.API rID32A.beta GUR	+
[].Physiology and metabolism.API rID32A.beta GLU	+/-
[].Physiology and metabolism.API rID32A.beta GLU	-
[].Physiology and metabolism.API rID32A.beta GLU	+
[].Physiology and metabolism.API rID32A.beta GAL	+/-
[].Physiology and metabolism.API rID32A.beta GAL	-
[].Physiology and metabolism.API rID32A.beta GAL	+
[].Physiology and metabolism.API rID32A.ArgA	+/-
[].Physiology and metabolism.API rID32A.ArgA	+
[].Physiology and metabolism.API rID32A.ArgA	-
[].Physiology and metabolism.API rID32A.alpha ARA	+
[].Physiology and metabolism.API rID32A.alpha ARA	+/-
[].Physiology and metabolism.API rID32A.alpha ARA	-
[].Physiology and metabolism.API rID32A.AlaA	+/-
[].Physiology and metabolism.API rID32A.AlaA	-
[].Physiology and metabolism.API rID32A.AlaA	+
[].Physiology and metabolism.API rID32A.ADH Arg	+/-
[].Physiology and metabolism.API rID32A.ADH Arg	+
[].Physiology and metabolism.API rID32A.ADH Arg	-
[].Physiology and metabolism.API rID32A.URE	+/-
[].Physiology and metabolism.API rID32A.URE	+
[].Physiology and metabolism.API rID32A.URE	-
[].Physiology and metabolism.API rID32A.RAF	-
[].Physiology and metabolism.API rID32A.RAF	+/-
[].Physiology and metabolism.API rID32A.RAF	+
[].Physiology and metabolism.API rID32A.GDC	+/-
[].Physiology and metabolism.API rID32A.GDC	+
[].Physiology and metabolism.API rID32A.GDC	-
[].Physiology and metabolism.API rID32A.beta NAG	+/-
[].Physiology and metabolism.API rID32A.beta NAG	-
[].Physiology and metabolism.API rID32A.beta NAG	+
[].Physiology and metabolism.API rID32A.alpha GAL	+/-
[].Physiology and metabolism.API rID32A.alpha GAL	+
[].Physiology and metabolism.API rID32A.alpha GAL	-
[].Physiology and metabolism.API rID32A.alpha FUC	-
[].Physiology and metabolism.API rID32A.alpha FUC	+
[].Physiology and metabolism.API rID32A.alpha FUC	+/-
[].Physiology and metabolism.API rID32A.PyrA	+/-
[].Physiology and metabolism.API rID32A.PyrA	-
[].Physiology and metabolism.API rID32A.PyrA	+
[].Physiology and metabolism.API rID32A.IND	+/-
[].Physiology and metabolism.API rID32A.IND	+
[].Physiology and metabolism.API rID32A.IND	-
[].Physiology and metabolism.API rID32A.alpha GLU	+/-
[].Physiology and metabolism.API rID32A.alpha GLU	+
[].Physiology and metabolism.API rID32A.alpha GLU	-
[].Physiology and metabolism.API rID32A.GlyA	+/-
[].Physiology and metabolism.API rID32A.GlyA	-
[].Physiology and metabolism.API rID32A.GlyA	+
[].Physiology and metabolism.API rID32A.NIT	+/-
[].Physiology and metabolism.API rID32A.NIT	+
[].Physiology and metabolism.API rID32A.NIT	-
[].Physiology and metabolism.API rID32A.HisA	+
[].Physiology and metabolism.API rID32A.HisA	+/-
[].Physiology and metabolism.API rID32A.HisA	-
[].Physiology and metabolism.API rID32A.GGA	+
[].Physiology and metabolism.API rID32A.GGA	+/-
[].Physiology and metabolism.API rID32A.GGA	-
[].Physiology and metabolism.API rID32A.SerA	+/-
